AUDIO_FILE,RESPONSE
can_opener_2-36JW4WBR06IJALG5YXFLF9W58LSFHB-37U1UTWH9WKQ6KIFCQQB85DBNN0R8F-A1KFLCWGG1RE43-1574819147095.wav,it's a bunch
food_can_5-3YO4AH2FPDI5QA0IE5JULG12T6ZQ0E-3BDCF01OGYSUISEKKAR9L6SEAA8YL4-APPNTU0LE3T9L-1574817251450.wav,a can of corn
band_aid_2-3WRAAIUSBJXL0KZCSLBF4U98ZVYXA9-33TIN5LC058ZHQDBVDOJGX1JAGVY9B-APPNTU0LE3T9L-1574818397322.wav,a box of CareOne flexible fabric bandages
syringe_3-3UEBBGULPFMOF7MPYWMKYOLV2TUUFR-3HYA4D452SHIHFBH5EHGHPMPYZO2FJ-A1RLO9LNUJIW5S-1574814807106.wav,a blunt tip syringe sits on the white turntable it's got a turquoise colored tip that extends to the metal to its blunt as I said so as no point and it's quite wide so quite a large gauge
lightbulb_1-3U18MJKL1UK4H5I6ATKXCN8YXK9CN6-3Y54SXRO1MJ1KW2KJIWB4CWI8ZJTU4-A9E9Y0LEAYO4V-1574817204281.wav,DC BBQ sauce for lighting
band_aid_1-3VO4XFFP15KJ8L02Z4430VBP1K5Q7E-3VAR3R6G1QZN97QZKY97EA86C0BO8Y-APPNTU0LE3T9L-1574817410119.wav,a box of Toy Story Band-Aids
food_can_5-3YO4AH2FPDI5QA0IE5JULG12T6ZQ0E-3IUZPWIU1P5F9H12K9XKL9UJA25KWQ-A1VXQ7LMBTE5LF-1574817817687.wav,that is a can of something possibly a can of corn
shampoo_3-3W0KKJIARR71XW7QW4CCI9VBDYJK83-379J5II41PEWCNXTK9FFE30YSY5LEE-A14LO2FWSF9AJU-1574817663626.wav,this is a blue-collar shower gel used for
band_aid_4-3087LXLJ6ME8ZLA90P809HXOM4QF09-34PGFRQONP9KYXVK2OX8KUU6VDBJWW-A1YJY8G4QKPV00-1574820062275.wav,the Box Band-Aid laying down
screwdriver_2-3XEDXEGFX3MJF72N10ZXPUPTU07K0G-3IRIK4HM3BIZW4A81E3IZWIYHR6C67-A3N2NKUWP5ZH7-1574818715567.wav,this is a screwdriver and the handle looks like it's plastic and the colors on it is like a lighter blue yellow and a darker blue
marker_4-385MDVINFCDHCDXQCMS6VAYKGGMJWI-3X31TUMD7YKXSM3H8LK07JH43P51LF-A14LO2FWSF9AJU-1574818803180.wav,this is a black colored marker used on lighting
onion_4-34KYK9TV2R6INDI54P5O0XCM2YHSBR-3TY7ZAOG5GIM1R0HR24ZEELF9XVK0T-A37MPHPHMGWFQB-1574819381402.wav,it is a whole white onion
gauze_2-375VSR8FVW724WL8VELMW5ET7ZKRZ8-3AWETUDC93QSXHGJVTWF7X9OZ0PIZ8-APPNTU0LE3T9L-1574819598568.wav,a blue box filled with gauze pads
bell_pepper_4-3UAU495MIIQILKZIXZ5ALIU9UULOU7-39LNWE0K4VUBBIM9P6X7Q5U9XIAUIV-A3EUFDOUX1GCL-1574819718493.wav,it is an orange bell pepper
plate_3-3QREJ3J433VWC3R9QTLGNEHHXYIKLP-3DEL4X4EL7JPIMV9YTUXW0N1HJQYXY-A1KFLCWGG1RE43-1574820185191.wav,it's a plate
book_3-3AFT28WXLF0DCT4I3IGW2F6Y0ZYIOT-30JNVC0ORAIJNU482FVHGSW5UKPQHT-A1KFLCWGG1RE43-1574819556137.wav,it said book
lime_1-3XAOZ9UYRZP5XZL0AONUZLKCYY5Q1H-3ZQIG0FLQFETPSVEJDBRNI50Q0CVWN-A14LO2FWSF9AJU-1574817640949.wav,Edison lemon green color used for making lemonade
food_jar_3-3HKIF5DF6YVW9FUHB5XBKDYTQNKG9L-3OUYGIZWR8WNCIXX4U97AV7E3700P9-A14LO2FWSF9AJU-1574818725632.wav,this is a picture into a glass bottle
plate_4-3UQ1LLR26A6Q0QINE28RT0ELSMOLAB-3TXMY6UCAFMS6MTSGNHG51ZPHSGCQ2-A1VXQ7LMBTE5LF-1574818627118.wav,that is a green plate people usually eat food off of plates
lime_3-3BS6ERDL9356FCISB8TRUI4UNUWD6X-3RXPCZQMQQ9H6UPGXUNKURCW78D1G3-APPNTU0LE3T9L-1574816565639.wav,a fresh green lime
potato_3-37PGLWGSJT4UM2J35QO3VYPPGUOIK9-3AMW0RGHOE0QXEP450B5L73RB0CPNA-A1ITF1O2NFDPCP-1574819468382.wav,this is a red potato is a starchy vegetable
onion_5-3VJ4PFXFJ35TJG5HNG0SKNA45DHUAE-32RIADZIST21OYVQFC03H32273G4S2-A9E9Y0LEAYO4V-1574816458585.wav,it is a vegetable steamer
potato_4-37J05LC5AXHI37XZVRNG3M9Z90GDJ3-3FE2ERCCZY68FZPG6FBI0W3W1AGPOO-ARL7HOWLEHNOP-1574819010243.wav,object is a small potato
toothbrush_5-3DIIW4IV8PT980U0KY1NOH0TJ8YI4J-3YMTUJH0DTE23Y854C5TR8YO9M3T4P-A1YJY8G4QKPV00-1574820008457.wav,white handle toothbrush
presciption_medicine_bottle_1-368IUKXGA56F49LIGHKMUCLJ1DZP6N-3S3AMIZX3V3YHDPNB1BW52SQYDSDCZ-A1YJY8G4QKPV00-1574818286730.wav,a prescription bottle
picture_frame_2-3K3G488TR264LHMJBBP62BXTAEAQ5Z-3Y5140Z9DYEYJDED8KYDGZ7AP1CIPH-ARL7HOWLEHNOP-1574817358997.wav,a book is a black picture frame with three panels that holds three separate pictures
screwdriver_4-3ZRKL6Z1E81EEUQGKBX2183JIB9SG8-3AUQQEL7U6R0H2UTQ6I6GNWWPV30VW-APPNTU0LE3T9L-1574819664684.wav,a Phillips head screwdriver with a black round handle
lime_5-3WRKFXQBOB5P678K95PU4640E9XIY4-3PWWM24LHTW9201UX0BA7X53BVD284-A1YJY8G4QKPV00-1574816199165.wav,a lime
bell_pepper_3-3X0EMNLXEPN0JZ0JHPSU641II6QPVE-3NG53N1RLWH5U720ZYMM3ADWM5AP8J-A1YJY8G4QKPV00-1574818257608.wav,a green pepper
eye_glasses_2-3JYPJ2TAYI6BN2ETHANQOIYWUC2PFQ-36W0OB37HXCS1M5ZPBEU7L89ZN6HZA-A14LO2FWSF9AJU-1574817877305.wav,this isn't glass used for chatting
can_opener_2-36JW4WBR06IJALG5YXFLF9W58LSFHB-3483FV8BEFHMYMI64LECNJ9C50U26P-A1YJY8G4QKPV00-1574818841678.wav,lime green can opener
medicine_bottle_4-3XD2A6FGFNSZZK3865RS9RHWEYES9H-3I33IC7ZWG0NLOU9UYVO3OBY1JC2A7-A1RLO9LNUJIW5S-1574815272054.wav,black or dark Amber bottle with a yellow label going around a I can C supplement facts on it I think there's some sort of vitamin has a yellow cap that flips open
screwdriver_4-3ZRKL6Z1E81EEUQGKBX2183JIB9SG8-3PB5A5BD0W4VHG4IMA4TV139AUH7GA-A14LO2FWSF9AJU-1574818200034.wav,this is the screwdriver used for driving screws
shampoo_5-35NNO802AVUVU84623GJNQ6TAPTINE-36DSNE9QZ6WCTOMIB26Y30HKSB2OJF-AI521GBL3HJSC-1574815600265.wav,it's a blue Argan Oil shampoo
band_aid_1-3UUSLRKAUL1PJCWXUIYJ0W4QI5GD7W-3MH9DQ757XAXFRGEZIX45THTI5DUGY-APPNTU0LE3T9L-1574817742175.wav,a box of Toy Story Band-Aids
hand_towel_1-351S7I5UG9URPJOCKL1JZRLTN4INJV-3TE3O857316FK5GQW9HAYE081N9R2D-A14LO2FWSF9AJU-1574819615560.wav,this is a yellow color clothes used for painting something
stapler_4-3L55D8AUFAVYT4MKHVT8T36514DCYW-3HOSI13XH0M8M5V1BX67P8A8JD7DD2-A1ITF1O2NFDPCP-1574819521635.wav,this is a stapler that is used to staple paper papers together
bell_pepper_3-3GITHABACYJRJNQ4D0VR0AZCLTWN28-3H7XDTSHKDPA7V5JUIC5NH2Q3LSGWN-A14LO2FWSF9AJU-1574819107920.wav,this is a green pepper
toothpaste_1-3J6BHNX0U9QM03UU261V06L62TINKU-3MAOD8E57R8V6NRVRRLMFKPUDZMNXX-A1YJY8G4QKPV00-1574819980365.wav,Complete Care toothpaste
lime_3-3BS6ERDL9356FCISB8TRUI4UNUWD6X-3GDTJDAPVV9Z945N7IUUM6J1H0YM8J-A14LO2FWSF9AJU-1574818017791.wav,this is the Lemon used for making London
lime_1-3J94SKDEKINAW8IE6PJM2CQURZLD5H-3YZ8UPK3VUKKYF09XW1LF2WEKDOUCR-A4H1NYJVE7C53-1574818870887.wav,a green color around vegetable stays on the turntable
hammer_6-360ZO6N6J1HW1PQ3M8V6XIIQM9KM9N-3PW9OPU9PRIRR0H9YF2VSNIVXOL12V-A3EUFDOUX1GCL-1574804332536.wav,there is a hammer with a wooden handle
band_aid_2-3WRAAIUSBJXL0KZCSLBF4U98ZVYXA9-3PW9OPU9PRIRR0H9YF2VSNIVXPC21P-A1YJY8G4QKPV00-1574818140939.wav,backside of a Band-Aid box
lightbulb_5-36BTXXLZ2V6M1ZXJALVW291K645R4K-3ZSANO2JCG5BMESFZTWM87ZTWSCFSM-A3722NOMVUK89T-1574809644870.wav,there is what looks like a small outlet plug but I'm not exactly sure maybe a little flashlight connected to it
gauze_1-3I4E7AFQ2KXPKWTWHHNV8QRLCM4JTS-3B3WTRP3DC09G5K42SHO7T0EV10925-A1YJY8G4QKPV00-1574818080477.wav,a gauze in plastic wrap
book_5-3DGDV62G7O7RM82HTF8J4Z47L8XP26-3IO1LGZLKAVXK1KVK2NDXAMFR0G68Q-A14LO2FWSF9AJU-1574816551106.wav,disassemble our knowledge or maybe that is sometimes
potato_5-3MZ3TAMYTLLG96WYVAX0WAB3BMIIR2-3L4PIM1GQUE5LQ9XPUO57I1DG23YR0-A37MPHPHMGWFQB-1574819242786.wav,it is a sweet potato
bell_pepper_3-3MIVREZQVHW7307MIYTC40GB745KQE-36ZN444YTSWGYD2CTKLYRZ2KFWNOID-ARL7HOWLEHNOP-1574820083446.wav,the object is a medium or large size green pepper
screwdriver_1-33Q5P9PUSPKYYUWPDHVR7AF77YHCZN-3L0KT67Y8FEHM59A4JOAXS6924DYSF-A1RLO9LNUJIW5S-1574815476182.wav,a Craftsman flat-head screwdriver it's got a black handle with red accents and white lettered Craftsman on a red background and then red at the tip and right where the screw the metal portion of the screwdriver meets the handle
marker_2-3E22YV8GG14NBURAFY63WN75W3ONPV-3BWI6RSP7H7XX28RGFE5VYIXXEW7EN-A14LO2FWSF9AJU-1574815730129.wav,I just had black colored marker weekend right
potato_1-33CLA8O0MI9WZFU8U2RFTDYBVUQFR8-3VP0C6EFSHUC5QMZE3XW2SNAB5B6MK-APPNTU0LE3T9L-1574818811494.wav,a russet potato
fork_2-3ZXV7Q5FJBMSTD5PC51K4IZPVTNFC2-3Z9WI9EOZ0MXCR6DPABKK6KWVERKHP-ARL7HOWLEHNOP-1574817326294.wav,object has a somewhat larger silver fork
medicine_bottle_1-3DQYSJDTYL9OQXGO8QD10DZZKAWXE4-3UWN2HHPUZ3NA65WXHFZGC82YKJSNT-A37MPHPHMGWFQB-1574819527497.wav,it is a partially used bottle of DayQuil cold medicine
band_aid_5-3KTZHH2ONIDWNK7THGPSXMNF232M8Y-31UV0MXWNRAUQ3WUO5PZIT2TY0NI55-A3EUFDOUX1GCL-1574804495242.wav,there is a blue and white Band-Aid box
lemon_1-3OKP4QVBP2VAEY4M3BBBG89DW52GA0-3LEIZ60CDKXZMGNGRZQ2U4ALGA1Z95-A14LO2FWSF9AJU-1574819295766.wav,this is the yellow color lemon used for making love
medicine_bottle_3-341YLJU21IXZ5MFDGKIZV23VZU2I2N-31EUONYN2W1LKJMCSRKH6OSENYKVOI-APPNTU0LE3T9L-1574820559889.wav,a plastic bottle over the counter medication
bell_pepper_3-3MIVREZQVHW7307MIYTC40GB745KQE-3YHH42UU5CDXLXIZC2G0TEYUYX00LC-A28QUR0QYD2WI7-1574819129519.wav,green capsicum is on YouTube
picture_frame_1-3Z3R5YC0P3L9FU70YRWATSZTJFNFTL-32M8BPYGAUKS60LE518QMQTIOALIG9-AI521GBL3HJSC-1574815354591.wav,it's a simple white picture frame
banana_5-31GN6YMHLPQABGGGZG1KNBP7CZZSW7-3YT88D1N09WIIJZEAPMIGCJMC9G3K8-A1ITF1O2NFDPCP-1574819641169.wav,this is a banana it is yellow
apple_1-3FHTJGYT8NYH12AOSUT863Y8VR2PGP-31JLPPHS2VS18AKT8HEBNT0VWELO38-ARL7HOWLEHNOP-1574817965646.wav,the object has a yellow apple
water_bottle_2-3PGQRAZX02IE0LBGEHJ888ANN7ZSY6-33PPO7FECWDPUGBN3B7IG5QLBIEDI3-A37MPHPHMGWFQB-1574819033310.wav,it is a bottle of water
bowl_3-3TL87MO8CMNLWHZVPIUJ71PCP21FLI-337RC3OW060DEYJFFZ4PE7OKSTALVM-A37MPHPHMGWFQB-1574818430586.wav,it is a red ceramic Bowl
scissors_1-3WGCNLZJKF6B8QHV52HAZMDDFJGD1Z-3MMN5BL1W02D87ZHV1ZYVPBQ1E73M9-A1KFLCWGG1RE43-1574818085087.wav,it's a tool
scissors_5-37SOB9Z0SSVQG5J25NTH6S0FMCWL3F-3Z4XG4ZF49PA3G4RLPW3XNZZO4F8XM-A14LO2FWSF9AJU-1574816696610.wav,this is this desert used for cutting paper or something else
spoon_2-3PN6H8C9R4O72EUV1LA3AN6GJDMDAN-3WMOAN2SRCV32YM0RCK4RZS9XO3NVJ-AI521GBL3HJSC-1574815374280.wav,it's a spoon
medicine_bottle_3-341YLJU21IXZ5MFDGKIZV23VZU2I2N-3ZR9AIQJUC71NPBE6AHJ7XWJCBZ04D-A1YJY8G4QKPV00-1574817049345.wav,backside of a bottle of pills
syringe_3-3UEBBGULPFMOF7MPYWMKYOLV2TUUFR-3TXD01ZLD5FH3BNU4HV3W4KQS024UJ-A14LO2FWSF9AJU-1574816815255.wav,businesses shouldn't use for injecting medicine
coffee_mug_3-3IH9TRB0FBXSG1XHXGILQJTQ7OOI16-3TXD01ZLD5FH3BNU4HV3W4KQS0YU45-APPNTU0LE3T9L-1574814703880.wav,and all white coffee cup
toothpaste_3-38DCH97KHH0CSG140DT03LGYSF5JQE-3FE2ERCCZY68FZPG6FBI0W3W1A8OPF-A1WSFA9AZJK514-1574815617473.wav,this is a white 2 with a blue label it holds some type of paste
marker_5-3JMQI2OLFZ3EMXOKAPF8WTQGIKLNDH-3OS4RQUCRADC5SBDO7ARIIPTS58FB5-A37MPHPHMGWFQB-1574818234934.wav,it is a black Sharpie marker
onion_5-3VJ4PFXFJ35TJG5HNG0SKNA45DHUAE-3AAJC4I4FHQOSS0PDBHFJYOOCF4JZB-ARL7HOWLEHNOP-1574815162624.wav,the object is a yellow or sweet onion has kind of an orange has orange peel to it
coffee_mug_4-3ZXNP4Z39RJ8HOKP7ZW7J9CVREIL7K-3QJOXOW4XKPGI5FEKLGUEGFNS3ZEMD-A1VXQ7LMBTE5LF-1574819860382.wav,that is a tea cup with a flower design
pliers_4-304QEQWKZPI25YN2ZSRQWB62E5HO04-36NEMU28XGBAZ5155LA00MMNZ76MW3-A1YJY8G4QKPV00-1574819854491.wav,black handles cutters
band_aid_2-372AGES0I43DZ1LTUWX1ZKYIZZMRXB-3ZSY5X72NY9TRC5VJ7F75R3B2SWROA-AI521GBL3HJSC-1574815640232.wav,it's a blue box of Band-Aids
fork_1-3E6L1VR4XWK3DWWO2EOHII7FZ7CF6A-3TS1AR6UQRCP3G8NBQYBDG3X9FMF7O-APPNTU0LE3T9L-1574820311297.wav,a metal dinner Fork
toothpaste_2-338GLSUI43980UUL9RRKJN37HW9FSW-3SITXWYCNW7T5E2YO1GDOPP0WA6XBG-A1KFLCWGG1RE43-1574819314572.wav,Institute best
allen_wrench_4-3SBX2M1TKDLMPYIJX66WXJRFAIFQ4U-36AHBNMV1SABKGQS7TTL2TK911DDYA-A1YJY8G4QKPV00-1574819574680.wav,an allen key
bell_pepper_5-3FO95NVK5CY53KZU0MRE0CHQKKKSR4-3R6P78PK7L9IFE1PZD7U0XVRZR5GTS-A14LO2FWSF9AJU-1574817262626.wav,this is the yellow paper
eye_glasses_3-329E6HTMSW0FWZ1KKNHGRSN0XCRK3B-3R6P78PK7L9IFE1PZD7U0XVRZRDTGD-A1KFLCWGG1RE43-1574820548799.wav,it's a glass
pliers_1-39RRBHZ0AUZUX32P4YQWX23WS5XZV9-3BC8WZX3V4UWOPXBBZWBZM8GDFFRRI-ARL7HOWLEHNOP-1574815178623.wav,looking at a pair of pliers they're rather small with a pink grip
apple_4-324N5FAHSX9Z88334XNMANFJOWKKV8-37UQDCYH6YTEZDUDB53FV26JX917VV-ARL7HOWLEHNOP-1574816753988.wav,object is a red delicious apple
eye_glasses_2-3R5OYNIC2C7L67WUCUSF5MDXLLYTPQ-3W8CV64QJ3XDVVNMLDKVUX6GKJC9HF-AJY5G987IRT25-1574802101834.wav,a pair of Optical Eyeglasses
cell_phone_1-3J9UN9O9J3QO4NW5JFZLOFPGFB7J0G-3ZSY5X72NY9TRC5VJ7F75R3B2SVRO9-A1RLO9LNUJIW5S-1574815212203.wav,a cell phone it looks like an older model compared to the ones from nowadays and I don't think it's an iPhone I think it's Android but I'm not completely certain
apple_1-3YLPJ8OXX8B6YVJVJK1ORRN87L2X4Y-36V4Q8R5ZLY5F85JTCBU8X41B6MMQW-A1YJY8G4QKPV00-1574818561906.wav,a yellow apple
pencil_2-3JTPR5MTZSAIAEOOY6596PLKB8IK51-33PPUNGG3935QGJ2LGQOLPAFMW8ZRT-A3EUFDOUX1GCL-1574819768320.wav,it is a blue pen
stapler_1-375VMB7D4JHM8WDTD92GRLUZWLRDIR-3JBT3HLQF90KE33N8OMZGUA0LEJZP0-ALGU2HM1WHCVZ-1574819413276.wav,it's a magenta stapler
hammer_4-37ZQELHEQ0WHQRUXNIEBFJDARYDMNY-3AMYWKA6YCK05T7BRJC9UWCF65Q6OZ-ALGU2HM1WHCVZ-1574818957867.wav,it's a small black and yellow hammer
banana_4-3P7RGTLO6EBFGK05T2WQE0163MJKA7-3DHE4R9OCX9OVF7CGYNYZAM1ZEYG26-A37MPHPHMGWFQB-1574819487141.wav,it is a whole unpeeled single banana
lightbulb_4-3ABAOCJ4R822TO7P3A6SJD8FW90MQL-3IFS6Q0HJJHVW5U50127B4CLCLOIS2-A37MPHPHMGWFQB-1574819054960.wav,it is a light bulb
bell_pepper_1-3W31J70BASU39ZX3DGSHKVRU3P4KC9-3C8HJ7UOP8SET06AG8U7ZQG5G90ZMW-A1WSFA9AZJK514-1574815903339.wav,this is a bright red vegetable it has four bucks on one side and a stem on the other
soda_bottle_2-3OJX0UFJ0Z5FEXVCVAMSOSZKZVZU9Z-3U088ZLJVLRDWRUYGGN22PFAW440W5-A28QUR0QYD2WI7-1574819150751.wav,there is a bottle of Coca-Cola
stapler_3-31JUPBOORN2CH2P8H4ODX98Q2YOL87-3WS1NTTKEZABL583QRD2Y1TA11B0F4-APPNTU0LE3T9L-1574818021170.wav,a purple stapler
banana_2-3SA4EMRVJV0KQYZ3ES45LBBSOADP0M-384PI804XTZKPADPWBD150CPQR10SJ-A14LO2FWSF9AJU-1574816468206.wav,this is the number of bananas
plate_5-3W5PY7V3UP5L1ISQRNAUG7J0ROMJYH-3DQQ64TANHJGK8YIX12SHQGI4CGPW1-A1YJY8G4QKPV00-1574819494603.wav,a square ceramic plate
food_can_1-32PT7WK7DMD7ITVAS6VTNFSAD3UD3R-3JZQSN0I3R88W9JO4T25JTGQ8I3GFQ-A1YJY8G4QKPV00-1574819525410.wav,can of tomatoes
pencil_4-3WJGKMRWVI7VVTRTLZ6UGIW4JG7DCP-3RANCT1ZVGF1OA83JW5Q4IQW2SIUBE-A9E9Y0LEAYO4V-1574816545911.wav,is it been inducers for writing
picture_frame_2-34R3P23QHSZLL720OMPLJXI53OIHWB-3PDJHANYK6EQDCLON6HJANFEUJCH6M-A1YJY8G4QKPV00-1574818858456.wav,triple frame picture frame
screwdriver_5-3Y7LTZE0YTKUKODPZ8GR1G1DEYOZUK-3NVC2EB65RXD2OOVE4N9PKYXAOJ3YX-APPNTU0LE3T9L-1574817454668.wav,a small screwdriver with a red and black handle
toothpaste_3-302OLP89DZ5XXMOH1PFSQHOYYDACAM-304SM51WA42L9XGZURAQPH88HV0SBZ-ARL7HOWLEHNOP-1574817572598.wav,I'm looking at a blue bottle of toothpaste
bowl_2-3MZ3TAMYTLLG96WYVAX0WAB3BMIRIB-3LOZAJ85YEBZH12258N2NWMW24S2XI-A14LO2FWSF9AJU-1574818546563.wav,deceptive blue color glass about
bowl_2-3MZ3TAMYTLLG96WYVAX0WAB3BMIRIB-38JBBYETQP80EFQ8EHGYSMYN6CFE4J-AI521GBL3HJSC-1574819869641.wav,it's a blue bow
soda_bottle_3-3PA41K45VN2Y89ZNZRPE0QLFWOJP7M-351SEKWQS1FBQZ1EOQ5A8YX2SRYMDS-A1ITF1O2NFDPCP-1574819278104.wav,this is a bottle of Coca-Cola it's a type of soda pump
hand_towel_3-3BCRDCM0ODSETIO23PFEYVZK73TK6H-31Z0PCVWULDZMLQO6A30UKIY0OO7TI-ARL7HOWLEHNOP-1574817868613.wav,object is a white kitchen towel that has some kind of red patterns on it
picture_frame_4-32L724R85LIVXTGJIITBRFBOA4UPIH-3EWIJTFFVP5JFR87VGTWGJ8AP00E04-A28QUR0QYD2WI7-1574820098062.wav,that is a photo frame
eye_glasses_3-33W1NHWFYHJFKBY0Z3QHWKFBVKHZTT-3J2UYBXQQMAF2CFSPYAY4VGX82C065-A1YJY8G4QKPV00-1574819795352.wav,a pair of blue see-through glasses
tissue_box_1-3R5OYNIC2C7L67WUCUSF5MDXLLAPTY-3VNXK88KKDGIDWI6Q21Z9YXPSZVV91-A14LO2FWSF9AJU-1574819076860.wav,this is a tissue paper used for sighting space
band_aid_2-3SU800BH86QL6WCYCCXEANP99V3UQL-3DUZQ9U6SNM0IBE5Z81QQT2FKNKSV9-A1KFLCWGG1RE43-1574819078785.wav,this is a product
coffee_mug_5-3U18MJKL1UK4H5I6ATKXCN8YXK9NCH-3IAS3U3I0GES4YZ10CVKYZV4J18B2M-A1ITF1O2NFDPCP-1574820350235.wav,this is a white cup is used to put beverages in
scissors_4-3Q9SPIIRWJK6BKUMIGFT2BV1QTGWA3-3E13VNJ1NOTV2LVBNINNF3PCMK41IS-AJY5G987IRT25-1574802651972.wav,scissors with grey and orange handle
onion_2-3DFYDSXB2WY4K98LHMD5DMDNV0BUJU-3FTYUGLFSVJDISG8WROORWMG6W95DM-A28QUR0QYD2WI7-1574819419054.wav,onion is on the table
scissors_1-3T6SSHJUZF83G7TF5N3RIIACOQZIIY-38F5OAUN5OA9HCZT6GMBG1FAPUQ7H5-A1YJY8G4QKPV00-1574816668214.wav,black handled pair of scissors
stapler_4-32ZCLEW0BZIRS40P00EB3GQONJJPJT-3RGU30DZTB6OTL16YMRLBWSFXBMMJX-A2KH641ASLS5P9-1574815119350.wav,this is a stapler
lime_1-3XAOZ9UYRZP5XZL0AONUZLKCYY5Q1H-3JMSRU9HQJSZ8S9NYDHL1CY0JWDVED-A1YJY8G4QKPV00-1574820042661.wav,a lime
band_aid_2-372AGES0I43DZ1LTUWX1ZKYIZZMRXB-3GM6G9ZBKOVI7OXBAG5PD2FOVDBTM7-A66ZK7SJ1CGBZ-1574814433995.wav,there is a small blue box of bandages
band_aid_4-3Z56AA6EK4Y9J6O5O1SUD8ROW8CM6C-39LNWE0K4VUBBIM9P6X7Q5U9XHFUIY-A3EUFDOUX1GCL-1574804269710.wav,it is a blue and white box containing Band-Aids
hammer_5-3BO3NEOQM0FOAPAHTZBE1KMTBIUIAU-3GGAI1SQEWW1L7V0OUAZOSFK7RGMCM-A1YJY8G4QKPV00-1574816797855.wav,pink and black hammer
plate_1-3T2HW4QDUV5JS3EC9J1SUMDESVSC97-3SB4CE2TJWTOM4X6INGHTE5UESEXAE-ARL7HOWLEHNOP-1574816292523.wav,the object is a white paper plate with blue flowers that's a design
toothpaste_4-3538U0YQ1FS4GD96JCQJBFVVPGAF34-3EWIJTFFVP5JFR87VGTWGJ8AP0Z0EP-A1ITF1O2NFDPCP-1574819436727.wav,this is a jar of toothpaste
marker_2-3E22YV8GG14NBURAFY63WN75W3ONPV-3PS7W85Z800304EHL71K8G94VEBT9F-ARL7HOWLEHNOP-1574817641067.wav,looking at a black Magic Marker
scissors_6-3R0WOCG21M7RHN8T7QRUAOIAQGEUDG-36U2A8VAG2XJYMW2ZAF866FZLA5KYP-A1VXQ7LMBTE5LF-1574817983993.wav,those are scissors you use them to cut things like paper
soda_bottle_1-3ZUE82NE0AZQHAFCVTLF2W36522F8W-3S3AMIZX3V3YHDPNB1BW52SQYDODCV-AI521GBL3HJSC-1574818734152.wav,it's a dr. pepper soda
